# Demo Filter  1
# Wavelenght (um)   Transmission
  2.00000000        0.00
  2.00273732        0.00
  2.00547838        0.00
  2.00822320        0.00
  2.01097177        0.00
  2.01372411        0.00
  2.01648021        0.00
  2.01924009        0.00
  2.02200374        0.00
  2.02477117        0.00
  2.02754239        0.00
  2.03031741        0.00
  2.03309622        0.00
  2.03587884        0.00
  2.03866526        0.00
  2.04145550        0.00
  2.04424956        0.00
  2.04704744        0.00
  2.04984915        0.00
  2.05265470        1.00
  2.05546408        1.00
  2.05827731        1.00
  2.06109439        1.00
  2.06391533        1.00
  2.06674013        1.00
  2.06956879        1.00
  2.07240132        1.00
  2.07523773        1.00
  2.07807803        1.00
  2.08092221        1.00
  2.08377028        1.00
  2.08662225        1.00
  2.08947813        1.00
  2.09233791        1.00
  2.09520161        1.00
  2.09806923        1.00
  2.10094077        1.00
  2.10381624        1.00
  2.10669565        1.00
  2.10957900        1.00
  2.11246629        1.00
  2.11535754        1.00
  2.11825275        1.00
  2.12115191        1.00
  2.12405505        1.00
  2.12696215        1.00
  2.12987324        1.00
  2.13278831        1.00
  2.13570737        1.00
  2.13863043        1.00
  2.14155748        1.00
  2.14448855        1.00
  2.14742362        1.00
  2.15036271        1.00
  2.15330583        1.00
  2.15625297        1.00
  2.15920415        1.00
  2.16215936        1.00
  2.16511862        1.00
  2.16808193        1.00
  2.17104930        1.00
  2.17402072        1.00
  2.17699622        1.00
  2.17997578        1.00
  2.18295943        1.00
  2.18594715        1.00
  2.18893897        1.00
  2.19193488        1.00
  2.19493490        1.00
  2.19793901        1.00
  2.20094724        1.00
  2.20395959        1.00
  2.20697606        1.00
  2.20999666        1.00
  2.21302139        1.00
  2.21605026        1.00
  2.21908328        1.00
  2.22212045        1.00
  2.22516178        1.00
  2.22820727        1.00
  2.23125692        1.00
  2.23431075        1.00
  2.23736876        1.00
  2.24043096        0.00
  2.24349735        0.00
  2.24656793        0.00
  2.24964272        0.00
  2.25272171        0.00
  2.25580492        0.00
  2.25889235        0.00
  2.26198400        0.00
  2.26507989        0.00
  2.26818001        0.00
  2.27128438        0.00
  2.27439299        0.00
  2.27750586        0.00
  2.28062299        0.00
  2.28374439        0.00
  2.28687005        0.00
  2.29000000        0.00
