# Demo Filter  5
# Wavelenght (um)   Transmission
  2.76000000        0.00
  2.76278680        0.00
  2.76557642        0.00
  2.76836885        0.00
  2.77116410        0.00
  2.77396217        0.00
  2.77676307        0.00
  2.77956680        0.00
  2.78237336        0.00
  2.78518275        0.00
  2.78799498        0.00
  2.79081004        0.00
  2.79362795        0.00
  2.79644871        0.00
  2.79927231        0.00
  2.80209877        0.00
  2.80492808        0.00
  2.80776024        0.00
  2.81059527        1.00
  2.81343316        1.00
  2.81627391        1.00
  2.81911753        1.00
  2.82196402        1.00
  2.82481339        1.00
  2.82766563        1.00
  2.83052076        1.00
  2.83337876        1.00
  2.83623966        1.00
  2.83910344        1.00
  2.84197011        1.00
  2.84483968        1.00
  2.84771214        1.00
  2.85058751        1.00
  2.85346577        1.00
  2.85634695        1.00
  2.85923103        1.00
  2.86211803        1.00
  2.86500794        1.00
  2.86790077        1.00
  2.87079652        1.00
  2.87369519        1.00
  2.87659679        1.00
  2.87950132        1.00
  2.88240878        1.00
  2.88531918        1.00
  2.88823252        1.00
  2.89114880        1.00
  2.89406802        1.00
  2.89699019        1.00
  2.89991531        1.00
  2.90284339        1.00
  2.90577442        1.00
  2.90870841        1.00
  2.91164537        1.00
  2.91458528        1.00
  2.91752817        1.00
  2.92047403        1.00
  2.92342286        1.00
  2.92637468        1.00
  2.92932947        1.00
  2.93228724        1.00
  2.93524800        1.00
  2.93821175        1.00
  2.94117850        1.00
  2.94414824        1.00
  2.94712097        1.00
  2.95009671        1.00
  2.95307546        1.00
  2.95605721        1.00
  2.95904197        1.00
  2.96202975        1.00
  2.96502054        1.00
  2.96801435        1.00
  2.97101119        1.00
  2.97401105        1.00
  2.97701394        1.00
  2.98001986        1.00
  2.98302882        1.00
  2.98604081        1.00
  2.98905585        1.00
  2.99207393        1.00
  2.99509506        1.00
  2.99811924        1.00
  3.00114647        0.00
  3.00417676        0.00
  3.00721011        0.00
  3.01024652        0.00
  3.01328600        0.00
  3.01632855        0.00
  3.01937416        0.00
  3.02242286        0.00
  3.02547463        0.00
  3.02852948        0.00
  3.03158742        0.00
  3.03464845        0.00
  3.03771256        0.00
  3.04077977        0.00
  3.04385008        0.00
  3.04692349        0.00
  3.05000000        0.00
