# Demo Filter  2
# Wavelenght (um)   Transmission
  2.19000000        0.00
  2.19275266        0.00
  2.19550877        0.00
  2.19826835        0.00
  2.20103140        0.00
  2.20379792        0.00
  2.20656792        0.00
  2.20934140        0.00
  2.21211837        0.00
  2.21489883        0.00
  2.21768278        0.00
  2.22047023        0.00
  2.22326119        0.00
  2.22605565        0.00
  2.22885363        0.00
  2.23165512        0.00
  2.23446013        0.00
  2.23726867        0.00
  2.24008074        1.00
  2.24289635        1.00
  2.24571549        1.00
  2.24853817        1.00
  2.25136441        1.00
  2.25419420        1.00
  2.25702754        1.00
  2.25986444        1.00
  2.26270491        1.00
  2.26554895        1.00
  2.26839657        1.00
  2.27124777        1.00
  2.27410254        1.00
  2.27696091        1.00
  2.27982287        1.00
  2.28268843        1.00
  2.28555758        1.00
  2.28843035        1.00
  2.29130672        1.00
  2.29418672        1.00
  2.29707033        1.00
  2.29995756        1.00
  2.30284843        1.00
  2.30574292        1.00
  2.30864106        1.00
  2.31154284        1.00
  2.31444827        1.00
  2.31735734        1.00
  2.32027008        1.00
  2.32318647        1.00
  2.32610653        1.00
  2.32903027        1.00
  2.33195767        1.00
  2.33488876        1.00
  2.33782353        1.00
  2.34076199        1.00
  2.34370414        1.00
  2.34664999        1.00
  2.34959954        1.00
  2.35255280        1.00
  2.35550978        1.00
  2.35847047        1.00
  2.36143488        1.00
  2.36440301        1.00
  2.36737488        1.00
  2.37035048        1.00
  2.37332982        1.00
  2.37631291        1.00
  2.37929975        1.00
  2.38229034        1.00
  2.38528469        1.00
  2.38828280        1.00
  2.39128469        1.00
  2.39429034        1.00
  2.39729978        1.00
  2.40031299        1.00
  2.40332999        1.00
  2.40635079        1.00
  2.40937538        1.00
  2.41240378        1.00
  2.41543598        1.00
  2.41847199        1.00
  2.42151182        1.00
  2.42455546        1.00
  2.42760294        1.00
  2.43065424        0.00
  2.43370938        0.00
  2.43676836        0.00
  2.43983119        0.00
  2.44289786        0.00
  2.44596839        0.00
  2.44904278        0.00
  2.45212103        0.00
  2.45520315        0.00
  2.45828915        0.00
  2.46137902        0.00
  2.46447278        0.00
  2.46757043        0.00
  2.47067197        0.00
  2.47377741        0.00
  2.47688675        0.00
  2.48000000        0.00
