# Demo Filter  9
# Wavelenght (um)   Transmission
  3.52000000        0.00
  3.52281600        0.00
  3.52563424        0.00
  3.52845475        0.00
  3.53127750        0.00
  3.53410252        0.00
  3.53692980        0.00
  3.53975934        0.00
  3.54259114        0.00
  3.54542521        0.00
  3.54826154        0.00
  3.55110015        0.00
  3.55394102        0.00
  3.55678417        0.00
  3.55962959        0.00
  3.56247729        0.00
  3.56532727        0.00
  3.56817953        0.00
  3.57103406        1.00
  3.57389089        1.00
  3.57674999        1.00
  3.57961139        1.00
  3.58247507        1.00
  3.58534105        1.00
  3.58820932        1.00
  3.59107988        1.00
  3.59395274        1.00
  3.59682790        1.00
  3.59970535        1.00
  3.60258511        1.00
  3.60546717        1.00
  3.60835154        1.00
  3.61123822        1.00
  3.61412721        1.00
  3.61701850        1.00
  3.61991211        1.00
  3.62280804        1.00
  3.62570628        1.00
  3.62860684        1.00
  3.63150972        1.00
  3.63441492        1.00
  3.63732245        1.00
  3.64023230        1.00
  3.64314448        1.00
  3.64605899        1.00
  3.64897583        1.00
  3.65189501        1.00
  3.65481652        1.00
  3.65774037        1.00
  3.66066656        1.00
  3.66359508        1.00
  3.66652596        1.00
  3.66945917        1.00
  3.67239473        1.00
  3.67533264        1.00
  3.67827290        1.00
  3.68121552        1.00
  3.68416049        1.00
  3.68710781        1.00
  3.69005749        1.00
  3.69300953        1.00
  3.69596393        1.00
  3.69892070        1.00
  3.70187983        1.00
  3.70484133        1.00
  3.70780520        1.00
  3.71077144        1.00
  3.71374005        1.00
  3.71671104        1.00
  3.71968440        1.00
  3.72266014        1.00
  3.72563826        1.00
  3.72861877        1.00
  3.73160166        1.00
  3.73458694        1.00
  3.73757460        1.00
  3.74056465        1.00
  3.74355710        1.00
  3.74655194        1.00
  3.74954918        1.00
  3.75254881        1.00
  3.75555085        1.00
  3.75855528        1.00
  3.76156212        0.00
  3.76457136        0.00
  3.76758302        0.00
  3.77059708        0.00
  3.77361355        0.00
  3.77663244        0.00
  3.77965374        0.00
  3.78267745        0.00
  3.78570359        0.00
  3.78873215        0.00
  3.79176313        0.00
  3.79479653        0.00
  3.79783237        0.00
  3.80087063        0.00
  3.80391132        0.00
  3.80695444        0.00
  3.81000000        0.00
