# Demo Filter  8
# Wavelenght (um)   Transmission
  3.33000000        0.00
  3.33280988        0.00
  3.33562213        0.00
  3.33843675        0.00
  3.34125375        0.00
  3.34407313        0.00
  3.34689488        0.00
  3.34971901        0.00
  3.35254553        0.00
  3.35537444        0.00
  3.35820573        0.00
  3.36103941        0.00
  3.36387548        0.00
  3.36671394        0.00
  3.36955480        0.00
  3.37239805        0.00
  3.37524371        0.00
  3.37809177        0.00
  3.38094222        1.00
  3.38379509        1.00
  3.38665036        1.00
  3.38950804        1.00
  3.39236813        1.00
  3.39523064        1.00
  3.39809556        1.00
  3.40096290        1.00
  3.40383266        1.00
  3.40670484        1.00
  3.40957944        1.00
  3.41245647        1.00
  3.41533593        1.00
  3.41821781        1.00
  3.42110213        1.00
  3.42398888        1.00
  3.42687807        1.00
  3.42976970        1.00
  3.43266376        1.00
  3.43556027        1.00
  3.43845922        1.00
  3.44136062        1.00
  3.44426446        1.00
  3.44717076        1.00
  3.45007951        1.00
  3.45299071        1.00
  3.45590437        1.00
  3.45882049        1.00
  3.46173907        1.00
  3.46466011        1.00
  3.46758362        1.00
  3.47050959        1.00
  3.47343803        1.00
  3.47636895        1.00
  3.47930233        1.00
  3.48223819        1.00
  3.48517653        1.00
  3.48811735        1.00
  3.49106065        1.00
  3.49400643        1.00
  3.49695470        1.00
  3.49990546        1.00
  3.50285871        1.00
  3.50581444        1.00
  3.50877268        1.00
  3.51173341        1.00
  3.51469663        1.00
  3.51766236        1.00
  3.52063059        1.00
  3.52360133        1.00
  3.52657457        1.00
  3.52955032        1.00
  3.53252858        1.00
  3.53550935        1.00
  3.53849264        1.00
  3.54147845        1.00
  3.54446677        1.00
  3.54745762        1.00
  3.55045099        1.00
  3.55344689        1.00
  3.55644532        1.00
  3.55944627        1.00
  3.56244976        1.00
  3.56545578        1.00
  3.56846434        1.00
  3.57147544        0.00
  3.57448907        0.00
  3.57750526        0.00
  3.58052398        0.00
  3.58354525        0.00
  3.58656908        0.00
  3.58959545        0.00
  3.59262438        0.00
  3.59565586        0.00
  3.59868990        0.00
  3.60172651        0.00
  3.60476567        0.00
  3.60780740        0.00
  3.61085169        0.00
  3.61389856        0.00
  3.61694799        0.00
  3.62000000        0.00
