# Demo Filter  4
# Wavelenght (um)   Transmission
  2.57000000        0.00
  2.57277699        0.00
  2.57555698        0.00
  2.57833997        0.00
  2.58112597        0.00
  2.58391498        0.00
  2.58670700        0.00
  2.58950205        0.00
  2.59230011        0.00
  2.59510119        0.00
  2.59790530        0.00
  2.60071244        0.00
  2.60352262        0.00
  2.60633583        0.00
  2.60915208        0.00
  2.61197137        0.00
  2.61479371        0.00
  2.61761910        0.00
  2.62044754        1.00
  2.62327904        1.00
  2.62611360        1.00
  2.62895122        1.00
  2.63179191        1.00
  2.63463567        1.00
  2.63748250        1.00
  2.64033240        1.00
  2.64318539        1.00
  2.64604146        1.00
  2.64890061        1.00
  2.65176285        1.00
  2.65462819        1.00
  2.65749662        1.00
  2.66036816        1.00
  2.66324279        1.00
  2.66612053        1.00
  2.66900138        1.00
  2.67188534        1.00
  2.67477242        1.00
  2.67766262        1.00
  2.68055595        1.00
  2.68345239        1.00
  2.68635197        1.00
  2.68925468        1.00
  2.69216053        1.00
  2.69506952        1.00
  2.69798165        1.00
  2.70089693        1.00
  2.70381535        1.00
  2.70673694        1.00
  2.70966167        1.00
  2.71258957        1.00
  2.71552063        1.00
  2.71845486        1.00
  2.72139226        1.00
  2.72433284        1.00
  2.72727659        1.00
  2.73022352        1.00
  2.73317364        1.00
  2.73612694        1.00
  2.73908344        1.00
  2.74204312        1.00
  2.74500601        1.00
  2.74797210        1.00
  2.75094140        1.00
  2.75391390        1.00
  2.75688961        1.00
  2.75986854        1.00
  2.76285069        1.00
  2.76583606        1.00
  2.76882466        1.00
  2.77181649        1.00
  2.77481155        1.00
  2.77780984        1.00
  2.78081138        1.00
  2.78381616        1.00
  2.78682418        1.00
  2.78983546        1.00
  2.79284999        1.00
  2.79586777        1.00
  2.79888882        1.00
  2.80191313        1.00
  2.80494071        1.00
  2.80797156        1.00
  2.81100569        0.00
  2.81404309        0.00
  2.81708378        0.00
  2.82012775        0.00
  2.82317501        0.00
  2.82622557        0.00
  2.82927942        0.00
  2.83233657        0.00
  2.83539702        0.00
  2.83846078        0.00
  2.84152785        0.00
  2.84459824        0.00
  2.84767194        0.00
  2.85074896        0.00
  2.85382931        0.00
  2.85691299        0.00
  2.86000000        0.00
