# Demo Filter  7
# Wavelenght (um)   Transmission
  3.14000000        0.00
  3.14280306        0.00
  3.14560863        0.00
  3.14841670        0.00
  3.15122728        0.00
  3.15404037        0.00
  3.15685597        0.00
  3.15967408        0.00
  3.16249471        0.00
  3.16531785        0.00
  3.16814352        0.00
  3.17097171        0.00
  3.17380242        0.00
  3.17663566        0.00
  3.17947143        0.00
  3.18230973        0.00
  3.18515057        0.00
  3.18799394        0.00
  3.19083985        1.00
  3.19368829        1.00
  3.19653929        1.00
  3.19939282        1.00
  3.20224891        1.00
  3.20510754        1.00
  3.20796873        1.00
  3.21083247        1.00
  3.21369877        1.00
  3.21656762        1.00
  3.21943904        1.00
  3.22231302        1.00
  3.22518956        1.00
  3.22806868        1.00
  3.23095036        1.00
  3.23383461        1.00
  3.23672145        1.00
  3.23961085        1.00
  3.24250284        1.00
  3.24539741        1.00
  3.24829456        1.00
  3.25119430        1.00
  3.25409663        1.00
  3.25700155        1.00
  3.25990906        1.00
  3.26281917        1.00
  3.26573187        1.00
  3.26864718        1.00
  3.27156508        1.00
  3.27448560        1.00
  3.27740871        1.00
  3.28033444        1.00
  3.28326278        1.00
  3.28619374        1.00
  3.28912731        1.00
  3.29206350        1.00
  3.29500231        1.00
  3.29794375        1.00
  3.30088781        1.00
  3.30383450        1.00
  3.30678382        1.00
  3.30973577        1.00
  3.31269035        1.00
  3.31564758        1.00
  3.31860744        1.00
  3.32156995        1.00
  3.32453510        1.00
  3.32750290        1.00
  3.33047335        1.00
  3.33344645        1.00
  3.33642220        1.00
  3.33940061        1.00
  3.34238168        1.00
  3.34536541        1.00
  3.34835181        1.00
  3.35134086        1.00
  3.35433259        1.00
  3.35732699        1.00
  3.36032406        1.00
  3.36332381        1.00
  3.36632624        1.00
  3.36933134        1.00
  3.37233913        1.00
  3.37534960        1.00
  3.37836276        1.00
  3.38137861        0.00
  3.38439715        0.00
  3.38741839        0.00
  3.39044233        0.00
  3.39346896        0.00
  3.39649830        0.00
  3.39953033        0.00
  3.40256508        0.00
  3.40560254        0.00
  3.40864270        0.00
  3.41168559        0.00
  3.41473118        0.00
  3.41777950        0.00
  3.42083054        0.00
  3.42388430        0.00
  3.42694078        0.00
  3.43000000        0.00
