# Demo Filter  6
# Wavelenght (um)   Transmission
  2.95000000        0.00
  2.95279543        0.00
  2.95559350        0.00
  2.95839423        0.00
  2.96119761        0.00
  2.96400364        0.00
  2.96681234        0.00
  2.96962369        0.00
  2.97243771        0.00
  2.97525440        0.00
  2.97807376        0.00
  2.98089579        0.00
  2.98372049        0.00
  2.98654787        0.00
  2.98937793        0.00
  2.99221067        0.00
  2.99504609        0.00
  2.99788420        0.00
  3.00072500        1.00
  3.00356849        1.00
  3.00641468        1.00
  3.00926356        1.00
  3.01211515        1.00
  3.01496943        1.00
  3.01782642        1.00
  3.02068612        1.00
  3.02354853        1.00
  3.02641365        1.00
  3.02928149        1.00
  3.03215204        1.00
  3.03502531        1.00
  3.03790131        1.00
  3.04078003        1.00
  3.04366148        1.00
  3.04654565        1.00
  3.04943257        1.00
  3.05232221        1.00
  3.05521460        1.00
  3.05810973        1.00
  3.06100760        1.00
  3.06390821        1.00
  3.06681158        1.00
  3.06971770        1.00
  3.07262657        1.00
  3.07553819        1.00
  3.07845258        1.00
  3.08136973        1.00
  3.08428964        1.00
  3.08721232        1.00
  3.09013776        1.00
  3.09306598        1.00
  3.09599698        1.00
  3.09893075        1.00
  3.10186730        1.00
  3.10480664        1.00
  3.10774876        1.00
  3.11069367        1.00
  3.11364137        1.00
  3.11659186        1.00
  3.11954515        1.00
  3.12250123        1.00
  3.12546012        1.00
  3.12842181        1.00
  3.13138631        1.00
  3.13435362        1.00
  3.13732374        1.00
  3.14029667        1.00
  3.14327242        1.00
  3.14625099        1.00
  3.14923239        1.00
  3.15221660        1.00
  3.15520365        1.00
  3.15819353        1.00
  3.16118624        1.00
  3.16418178        1.00
  3.16718017        1.00
  3.17018139        1.00
  3.17318546        1.00
  3.17619238        1.00
  3.17920214        1.00
  3.18221476        1.00
  3.18523023        1.00
  3.18824856        1.00
  3.19126975        0.00
  3.19429381        0.00
  3.19732073        0.00
  3.20035051        0.00
  3.20338317        0.00
  3.20641870        0.00
  3.20945711        0.00
  3.21249840        0.00
  3.21554257        0.00
  3.21858962        0.00
  3.22163956        0.00
  3.22469239        0.00
  3.22774812        0.00
  3.23080674        0.00
  3.23386826        0.00
  3.23693268        0.00
  3.24000000        0.00
